Found 28 users:
 - ID: 1, Email: admin@clinic.com, Role: admin
 - ID: 3, Email: nimesh@gmail.com, Role: patient
 - ID: 4, Email: doctor@clinic.com, Role: doctor
 - ID: 5, Email: patient@clinic.com, Role: patient
 - ID: 8, Email: ben@gmail.com, Role: patient
 - ID: 9, Email: admin@example.com, Role: admin
 - ID: 11, Email: testpatient@example.com, Role: patient
 - ID: 12, Email: ken@gmail.com, Role: patient
 - ID: 13, Email: neyon@gmail.com, Role: patient
 - ID: 14, Email: doctor@example.com, Role: doctor
 - ID: 15, Email: patient@example.com, Role: patient
 - ID: 16, Email: testuser_ewfjb@example.com, Role: patient
 - ID: 17, Email: testuser_kolbf@example.com, Role: patient
 - ID: 18, Email: ajya@gmail.com, Role: patient
 - ID: 19, Email: ajay@gmail.com, Role: patient
 - ID: 21, Email: debug_patient_1@example.com, Role: patient
 - ID: 23, Email: test_patient@example.com, Role: patient
 - ID: 24, Email: nimeshu@gmail.com, Role: patient
 - ID: 25, Email: john@gmail.com, Role: doctor
 - ID: 26, Email: aysha@gmail.com, Role: doctor
 - ID: 27, Email: user_jtufhgku@example.com, Role: patient
 - ID: 28, Email: martin@gmail.com, Role: doctor
 - ID: 29, Email: anna@gmail.com, Role: doctor
 - ID: 30, Email: jaya@gmail.com, Role: patient
 - ID: 31, Email: stenil@gmail.com, Role: patient
 - ID: 32, Email: anumol@gmail.com, Role: doctor
 - ID: 33, Email: shashianand@yahoo.com, Role: patient
 - ID: 34, Email: sumiya@gmail.com, Role: patient
